"HKU Business School
Master of Finance in Financial
Technology
Teaching Plan 2025-2026",Course Code,Course Title,"Course
Type",Instructor,Class Day & Time,Class Dates,V2-Class Dates,"Cyperport(CP)/
Main Campus(MC)",Class Venue*
"Module 2
Oct 13 to Nov 23, 2025",MFIN7033,Advanced Financial Programming and Databases (Class A),Core,Prof. Jiantao Huang,"Wednesday & Saturday
14:00-17:00","Oct 15, 20 (Mon, 18:30-21:30), 22, 27 (Mon, 18:30-21:30),
Nov 3 (Mon, 18:30-21:30), 5, 12,
17 (Mon, 14:00-17:00 & 18:30-21:30), 19","Oct 15, 20 (Mon, 18:30-21:30), 22, 27 (Mon, 18:30-21:30),
Nov 3 (Mon, 18:30-21:30), 5, 12,
17 (Mon, 14:00-17:00 & 18:30-21:30), 19",CP,Room ABC
,MFIN7033,Advanced Financial Programming and Databases (Class B),,,"Wednesday & Saturday
18:30-21:30","Oct 15, 18, 22, 25,
Nov 1, 5, 8, 12, 15, 19","Oct 15, 18, 22, 25,
Nov 1, 5, 8, 12, 15, 19",CP,Room ABC
"Semester 2
(Module 3 - 5)
Jan 19 - May 2, 2026",LLAW6093,Regulation of Financial Markets (Class D),Core,Ms Lea-Anne Lee,"Friday
14:00 - 17:00","Jan 30,
Feb 6, 13, 20, 27,
Mar 6, 13, 20, 27,
Apr 10
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)","Jan 30,
Feb 6, 13, 20, 27,
Mar 6, 13, 20, 27,
Apr 10
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)",MC,CPD-3.04
"Semester 2
(Module 3 - 5)
Jan 19 - May 2, 2026",LLAW6256,"Law of Anti-Money Laundering and Counter-Terrorist Financing and Compliance Issues
(Class A)",Elective,Dr John Lee,"Friday
19:00-22:00","Jan 30,
Feb 6, 13, 20, 27,
Mar 6, 13, 20, 27,
Apr 10
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)","Jan 30,
Feb 6, 13, 20, 27,
Mar 6, 13, 20, 27,
Apr 10
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)",MC,CPD-2.16
"Module 3
Dec 8, 2025 to Jan 28, 2026",MFIN7036,"Text Analytics and Natural Language Processing in Finance and FinTech (Class A)
(shared class with MFin)",Elective,"Prof. Matthias
Buehlmaier","Wednesday & Saturday
9:30-12:30","Dec 10, 17 (9:30-12:30 & 14:00-17:00), 20,
Jan 3, 7, 10 (18:30-21:30),
14 (9:30-12:30 Room ABC & 14:00-17:00 LTA), 17 (18:30-21:30)","Jan 29,
Feb 5, 12, 26,
Mar 5, 12, 19, 26,
Apr 2, 9, 16
(may subject to further adjustment, please refer to the course
Moodle page; make up classes to be announced on Moodle by the Faculty of Law)",CP,"Room ABC

LTA (Jan 14- 14:00-17:00)"
"Module 3
Dec 8, 2025 to Jan 28, 2026",MFIN7005,Corporate Finance and Asset Valuation (Class E),Core,Prof. Jack Xiaoyong Fu,"Tuesday & Friday
14:00-17:00","Dec 9, 16, 19, 20 (Sat, Room J),
Jan 9, 13, 20
(may subject to further adjustment, make up classes to be announced)","Dec 10, 17 (9:30-12:30 & 14:00-17:00), 20,
Jan 3, 7, 10 (18:30-21:30),
14 (9:30-12:30 Room ABC & 14:00-17:00 LTA), 17 (18:30-21:30)",CP,"Room ABC

Room J (Dec 20)"
,MFIN7005,Corporate Finance and Asset Valuation (Class F),,,"Tuesday & Friday
18:30-21:30","Dec 9, 12, 13 (Sat, Room H), 16, 19, 20 (Sat, Room H),
Jan 9, 13, 16, 20","Dec 9, 13 (Sat, 14:00-17:00, CBA @MC),
14 (Sun, 14:00-17:00, CBA @MC), 16, 19, 20 (Sat, Room J),
Jan 9, 13, 20, 21 (Wed, 18:30-21:30, Room H)",CP,"Room ABC

Room H (Dec 13 & 20)"
"Module 3
Dec 8, 2025 to Jan 28, 2026",MFIN7002,Investment Analysis and Portfolio Management (Class G),Core,Prof. Rujing Meng,"Monday & Thursday
18:30-21:30","Dec 8, 11, 15, 18,
Jan 5, 8, 12, 15, 19, 22","Dec 9, 12, 13 (Sat, Room H), 16, 19, 20 (Sat, Room H),
Jan 9, 13, 16, 20",CP,Room ABC
"Module 3
Dec 8, 2025 to Jan 28, 2026",MFIN7054,"Introduction to Cryptocurrencies and Digital Assets (Class A)
(shared class with MBA)",Elective,Prof. Henri Arslanian,Saturday & Sunday Block Mode,TBC,"Dec 8, 11, 15, 18,
Jan 5, 8, 12, 15, 19, 22",CP,TBC
"Module 3
Dec 8, 2025 to Jan 28, 2026",MFIN7004,"Financial Services Regulations (Class A)
(shared class with MFin)",Elective,Prof. Berry Hsu,"Tuesday & Friday
9:30-12:30","Dec 9, 12, 16, 19,
Jan 2, 6, 9, 13, 16, 20","Dec 13 (09:30-12:30 & 14:00-18:30, CPD-3.28 @MC),
Dec 14 (09:30-12:30 & 14:00-18:30, CPD-2.42 @MC),
Dec 20 (09:30-12:30 & 14:00-18:30, CPD-3.28 @MC),
Dec 21 (09:30-12:30 & 14:00-18:30, CPD-2.42 @MC)",CP & MC,"CP - Room H
MC - KK101 (Jan 16)"
,MFIN7004,"Financial Services Regulations (Class B)
(shared class with MFin)",,,"Tuesday & Friday
14:00-17:00","Dec 9, 12, 16, 19,
Jan 2, 6, 9, 13, 16, 20","Dec 9, 12, 16, 19,
Jan 2, 6, 9, 13, 16, 20",CP & MC,"CP - Room H
MC - KK101 (Jan 16)"
"Module 4
Jan 29 to Mar 18, 2026",MFIN7037,"Quantitative Trading (Class A)
Prerequisite: MFIN7002 Investment analysis and portfolio management",Core,"Prof. Alan Kwan, Prof.
Yang You","Monday & Thursday
14:00-17:00","Jan 29,
Feb 2, 5, 9, 12, 23, 26,
Mar 2, 5, 9","Dec 9, 12, 16, 19,
Jan 2, 6, 9, 13, 16, 20",CP,Room ABC
,MFIN7037,"Quantitative Trading (Class B)
Prerequisite: MFIN7002 Investment analysis and portfolio management
(Class B open to Part-time students of Master of Science in Financial Technology and Data
Analytics under the Faculty of Engineering)",,,"Monday & Thursday
18:30-21:30","Jan 29,
Feb 2, 5, 9, 12, 23, 26,
Mar 2, 5, 9","Jan 29,
Feb 2, 5, 9, 12, 23, 26,
Mar 2, 5, 9",CP,Room ABC
"Module 4
Jan 29 to Mar 18, 2026",MFIN7034,Machine Learning and Artificial Intelligence in Finance (Class A),Core,Prof. Ye Luo,"Tuesday & Friday
14:00-17:00","Jan 30,
Feb 3, 6, 10, 13, 24, 27,
Mar 3, 6, 10","Jan 29,
Feb 2, 5, 9, 12, 23, 26,
Mar 2, 5, 9",CP,Room ABC
,MFIN7034,"Machine Learning and Artificial Intelligence in Finance (Class B)
(Class B open to Part-time students of Master of Science in Financial Technology and Data 
Analytics under the Faculty of Engineering)",,,"Tuesday & Friday
18:30-21:30","Jan 30,
Feb 3, 6, 10, 13, 24, 27,
Mar 3, 6, 10","Jan 30,
Feb 3, 6, 10, 13, 24, 27,
Mar 3, 6, 10",CP,Room ABC
"Module 5
Mar 19 to May 3, 2026",MFIN7060,"Fintech cybersecurity and risk management (Class A)
(shared class with MFin)",Elective,Prof. Alan Chow,"Wednesday & Saturday
14:00-17:00","Mar 21, 25 (Room EFG), 28 (18:30-21:30),
Apr 1, 8, 11 (Room EFG), 15, 18 (18:30-21:30), 22,
25 (Room 205-1&2)","Jan 30,
Feb 3, 6, 10, 13, 24, 27,
Mar 3, 6, 10",CP,"LTA

Room EFG (Mar 25, Apr 11)
Room 205-1&2 (Apr 25)"
"Module 5
Mar 19 to May 3, 2026",MFIN7035,"Big Data in Finance (Class A)
Prerequisite: MFIN7002 Investment analysis and portfolio management",Capstone,Prof. Alan Kwan,"Monday & Thursday
14:00-17:00","Mar 19, 23, 26, 30,
Apr 2, 9, 13, 15 (Wed, 18:30-21:30), 20, 23","Mar 21, 25 (Room EFG), 28 (18:30-21:30),
Apr 1, 8, 11 (Room EFG), 15, 18 (18:30-21:30), 22,
25 (Room 205-1&2)",CP,Room ABC
